"","sample","Estimator","region_year","region_100","endYear","record_count"
"237","Rboreal_Y1957",89.4220336719653,"Rboreal_Y1957","boreal",1957,3145
"238","Rboreal_Y1958",71.3947027607833,"Rboreal_Y1958","boreal",1958,5907
"239","Rboreal_Y1959",88.5614577085204,"Rboreal_Y1959","boreal",1959,3661
"240","Rboreal_Y1960",72.1618576352059,"Rboreal_Y1960","boreal",1960,4325
"241","Rboreal_Y1961",79.5179753457633,"Rboreal_Y1961","boreal",1961,5940
"242","Rboreal_Y1962",86.8887370271295,"Rboreal_Y1962","boreal",1962,2532
"243","Rboreal_Y1963",78.3045118479606,"Rboreal_Y1963","boreal",1963,2964
"244","Rboreal_Y1964",86.9260428412017,"Rboreal_Y1964","boreal",1964,3264
"245","Rboreal_Y1965",80.8702515072186,"Rboreal_Y1965","boreal",1965,2166
"246","Rboreal_Y1966",66.5013535205438,"Rboreal_Y1966","boreal",1966,1446
"247","Rboreal_Y1967",85.6864638924181,"Rboreal_Y1967","boreal",1967,1725
"248","Rboreal_Y1968",91.4865029292604,"Rboreal_Y1968","boreal",1968,2007
"249","Rboreal_Y1969",89.0029299466031,"Rboreal_Y1969","boreal",1969,1746
"250","Rboreal_Y1970",93.0277805109606,"Rboreal_Y1970","boreal",1970,2099
"251","Rboreal_Y1971",86.73071265942,"Rboreal_Y1971","boreal",1971,1390
"252","Rboreal_Y1972",52.2339610553228,"Rboreal_Y1972","boreal",1972,5721
"253","Rboreal_Y1973",91.5768192914294,"Rboreal_Y1973","boreal",1973,1793
"254","Rboreal_Y1974",88.2585064114658,"Rboreal_Y1974","boreal",1974,3773
"255","Rboreal_Y1975",91.2560327485466,"Rboreal_Y1975","boreal",1975,2308
"256","Rboreal_Y1976",74.9495714782758,"Rboreal_Y1976","boreal",1976,5063
"257","Rboreal_Y1977",95.6676991500022,"Rboreal_Y1977","boreal",1977,2298
"258","Rboreal_Y1978",96.7521825205484,"Rboreal_Y1978","boreal",1978,2469
"259","Rboreal_Y1979",72.5908630233181,"Rboreal_Y1979","boreal",1979,2880
"260","Rboreal_Y1980",92.7066820583007,"Rboreal_Y1980","boreal",1980,1695
"261","Rboreal_Y1981",87.2441769523018,"Rboreal_Y1981","boreal",1981,1818
"262","Rboreal_Y1982",90.4379841946971,"Rboreal_Y1982","boreal",1982,908
"263","Rboreal_Y1983",78.5519968788644,"Rboreal_Y1983","boreal",1983,2948
"264","Rboreal_Y1984",91.4607613235501,"Rboreal_Y1984","boreal",1984,1368
"265","Rboreal_Y1985",85.3396357088631,"Rboreal_Y1985","boreal",1985,1362
"266","Rboreal_Y1986",80.0669911025041,"Rboreal_Y1986","boreal",1986,1761
"267","Rboreal_Y1987",88.1965462254994,"Rboreal_Y1987","boreal",1987,1577
