region_50,endYear,taxo_group,nsites,mean_nsurv,nrec
boreal,1986,hoverflies,55,1.63636363636364,477
boreal,1987,bees,82,2.04878048780488,1559
boreal,1987,hoverflies,29,1.48275862068966,134
boreal,1988,bees,72,2.01388888888889,1145
boreal,1988,hoverflies,36,1.66666666666667,267
boreal,1989,bees,97,2.25773195876289,2430
boreal,1989,hoverflies,28,1.75,175
boreal,1990,bees,105,2.34285714285714,3716
boreal,1990,hoverflies,40,1.75,359
boreal,1991,bees,111,2.21621621621622,3023
boreal,1991,hoverflies,33,1.75757575757576,207
boreal,1992,bees,115,1.9304347826087,2474
boreal,1992,hoverflies,37,1.75675675675676,180
boreal,1993,bees,96,2.375,2692
boreal,1993,hoverflies,35,1.82857142857143,209
boreal,1994,bees,85,2.34117647058824,3698
boreal,1994,hoverflies,35,1.91428571428571,373
boreal,1995,bees,107,2.1214953271028,2953
boreal,1995,hoverflies,32,2.09375,286
boreal,1996,bees,138,2.02173913043478,3558
boreal,1996,hoverflies,45,1.86666666666667,349
boreal,1997,bees,145,1.97931034482759,2446
boreal,1997,hoverflies,44,1.72727272727273,385
boreal,1998,bees,168,1.875,2932
boreal,1998,hoverflies,59,1.74576271186441,443
boreal,1999,bees,164,2.01219512195122,2859
boreal,1999,hoverflies,72,1.625,750
boreal,2000,bees,199,2.36180904522613,4660
boreal,2000,hoverflies,69,1.76811594202899,647
boreal,2001,bees,190,2.34210526315789,5718
boreal,2001,hoverflies,70,2.08571428571429,862
boreal,2002,bees,177,2.24293785310734,9340
boreal,2002,hoverflies,92,1.82608695652174,1242
boreal,2003,bees,191,2.47120418848168,8557
boreal,2003,hoverflies,91,2.26373626373626,1635
boreal,2004,bees,213,2.54460093896714,15173
boreal,2004,hoverflies,105,2.14285714285714,1897
boreal,2005,bees,228,2.92982456140351,13531
boreal,2005,hoverflies,115,2.2,2653
boreal,2006,bees,226,3.01327433628319,15401
boreal,2006,hoverflies,110,2.04545454545455,1812
boreal,2007,bees,242,3.68181818181818,23980
boreal,2007,hoverflies,113,2.19469026548673,2791
boreal,2008,bees,254,4.07086614173228,60995
boreal,2008,hoverflies,124,1.93548387096774,2752
boreal,2009,bees,280,3.62857142857143,29280
boreal,2009,hoverflies,121,1.98347107438017,2807
boreal,2010,bees,256,3.5859375,23885
boreal,2010,hoverflies,113,1.93805309734513,2791
boreal,2011,bees,259,3.88416988416988,16815
boreal,2011,hoverflies,93,2,1766
boreal,2012,bees,281,3.71174377224199,20032
boreal,2012,hoverflies,174,1.91954022988506,2338
boreal,2013,bees,307,3.49837133550489,19680
boreal,2013,hoverflies,147,1.91156462585034,2138
boreal,2014,bees,282,3.70567375886525,19190
boreal,2014,hoverflies,179,1.76536312849162,2320
